Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),CGX(m),CGY(m),CGZ(m),CPZ(m),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,WindX(m/s),WindY(m/s),WindZ(m/s)
29.849493841396477,0.16357476810577834,60.61281110538164,79.56260798485283,-27.229289724346593,24.348779859345818,-17.022488626528553,-6.653315462625803e-16,1.225,0.0,0.0,-2.8000000000000003,-3.096781014360626,-422.5637828654943,248.3712755651443,-4.265862551253775,85.0,85.0,0.3,0.17385851006151956,50.0,232.01561200326523,-361.9509717601127,327.9338835499971,-31.49515227560037,4050755.0282836156,38.28632464096849,-25.61461251148994,0.0
29.849493841396477,0.16357412685598288,60.61241044076512,79.56225891180176,-27.22926825526887,24.348732890394455,-17.022413965618053,8.324998052646903e-19,1.225,0.0,0.0,-2.8000000000000003,-3.09678174584295,-422.5641668759355,248.37062220875578,-4.265863903296577,85.0,85.0,0.3,0.1738585100500587,50.0,232.01566984902695,-361.95175643517035,327.93288112055757,-31.495132158565447,4050755.02801659,38.286324640993065,-25.614612511462756,0.0
29.850038833601186,0.16304863838023326,60.36809252449765,79.18328167446903,-27.20608701311275,24.28099375791018,-16.985693246909918,-1.1093906118586791e-15,1.225,0.0,0.0,-2.8000000000000003,-3.0973526177937014,-422.5645075918736,248.37083655663452,-4.219387709247059,85.0,85.0,0.3,0.17384062971452122,50.0,231.99264179790902,-362.196415067376,327.55411823110353,-31.42547472235981,4050338.431445847,38.264559902728614,-25.636377670844205,0.0
29.850311329703544,0.16306033556788024,60.371576042229606,79.19198638472895,-27.206504380255254,24.282041436735767,-16.985543771067597,-6.652983354471138e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0973334038820024,-422.5646808012423,248.37093569509145,-4.196145095240581,85.0,85.0,0.3,0.17384073740177333,50.0,231.99415643913474,-362.19310475901267,327.5629220798204,-31.402649475495835,4050340.9404669907,38.26546434667612,-25.635473440724052,0.0
29.85167381021532,0.1631180848459047,60.38865265699992,79.23496266551965,-27.208560323245546,24.287155503588895,-16.984733320960263,8.105991294980627e-19,1.225,0.0,0.0,-2.8000000000000003,-3.097237917436426,-422.56547658737486,248.37151838699987,-4.079926611411935,85.0,85.0,0.3,0.17384125684659338,50.0,232.00168925454952,-362.17682393037495,327.6064810525195,-31.28848693465748,4050353.0430883486,38.26998653174135,-25.630952328429508,0.0
29.85191602897297,0.16312828724214523,60.39173117356993,79.24242561759888,-27.208914599844565,24.287989059668362,-16.98459237789303,-4.4333452874080146e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0972206925283627,-422.5652323432495,248.3722726224521,-4.059259290322132,85.0,85.0,0.3,0.1738413211512428,50.0,232.0029492672742,-362.1735011696795,327.614698240051,-31.268173890166697,4050354.5413318453,38.27079045771877,-25.630148595071248,0.0
29.85221880242003,0.1631409676007711,60.3954419826152,79.25190110761918,-27.209368401917388,24.289120562290833,-16.984399987142844,-2.2128748551483984e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0971997056414082,-422.5654782369553,248.37227515522608,-4.033429203359361,85.0,85.0,0.3,0.17384144297418155,50.0,232.00463303823335,-362.1700362543401,327.62417626284525,-31.24279760527675,4050357.379702434,38.27179535758214,-25.62914393678519,0.0
29.85221880242003,0.16314146102542065,60.39560428888442,79.25240446355596,-27.209399105465973,24.289269382199294,-16.984435154051795,-2.2120992280551818e-16,1.225,0.0,0.0,-2.8000000000000003,-3.09719964143891,-422.56587369618296,248.3716022901318,-4.033432503713954,85.0,85.0,0.3,0.1738414869135721,50.0,232.00473201861695,-362.1702694072985,327.62400675368775,-31.242831609179927,4050358.4034527643,38.271795357629564,-25.62914393673275,0.0
29.852775592738734,0.16316494976274196,60.40253431799846,79.26991620315641,-27.21023865902491,24.291357368028507,-16.984099424496282,-8.873431815521253e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0971608244794675,-422.5662034115951,248.37180834420374,-3.985929541210254,85.0,85.0,0.3,0.17384170897254908,50.0,232.00781047294106,-362.16366909359664,327.6417245473601,-31.196168200235164,4050363.5772375693,38.273643327262924,-25.62729641217598,0.0
29.85305398789809,0.16317656760743268,60.40593878261238,79.27859002882295,-27.210654344828303,24.292387691872772,-16.983922254965428,8.373962559250309e-19,1.225,0.0,0.0,-2.8000000000000003,-3.09714155931882,-422.56637116630134,248.3719031113523,-3.9621733516086977,85.0,85.0,0.3,0.17384182046095634,50.0,232.00934774394955,-362.16043238368894,327.6504931401753,-31.172827696437,4050366.1748223873,38.27456727984792,-25.62637268554131,0.0
29.85444596369485,0.16323455448873736,60.422935787157954,79.32188675275921,-27.21273106199861,24.29752397094578,-16.983035113857976,-2.2124879784781328e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0970453688349178,-422.5671363487078,248.37246815330948,-3.84338679908862,85.0,85.0,0.3,0.17384238351943265,50.0,232.01701563787958,-362.14420056154984,327.6943549060687,-31.05611786108723,4050379.293604744,38.27918700658424,-25.62175409234777,0.0
29.85469342605872,0.16324558784044438,60.42639320984224,79.32999307244565,-27.213124793626925,24.298494319326434,-16.982956756832387,-2.213317063587896e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0970274480812994,-422.5668690084447,248.37324906278104,-3.822260718780427,85.0,85.0,0.3,0.17384248457071036,50.0,232.01832534647005,-362.1404757986025,327.7032421352267,-31.035385512407352,4050381.648013343,38.2800082725403,-25.62093302989495,0.0
29.855002754013558,0.1632581786458047,60.43001580741827,79.33943462207763,-27.213576891166372,24.29960730447206,-16.982733864251742,-2.2132184081365634e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0970064112838473,-422.56711129149346,248.3732418111437,-3.7958602738480636,85.0,85.0,0.3,0.17384261126500156,50.0,232.02003449478065,-362.1370954840752,327.71267643322136,-31.009437165014436,4050384.599882291,38.28103484700564,-25.619906710651097,0.0
29.855002754013558,0.1632574945927689,60.42959119507596,79.33906078254017,-27.213553982080867,24.299556523538712,-16.9826548225858,-1.1093868135620141e-15,1.225,0.0,0.0,-2.8000000000000003,-3.097007191446435,-422.567524902384,248.37253804196536,-3.795865210782722,85.0,85.0,0.3,0.17384261123702968,50.0,232.02009461996215,-362.13793370730804,327.71159882450553,-31.00941919286359,4050384.59923057,38.28103484700603,-25.61990671065066,0.0
29.855571604636935,0.16328091529961203,60.43640689563389,79.35658099373146,-27.21439465592227,24.301626030898365,-16.982272042544675,-2.2120554921684491e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0969682079844545,-422.5678422683691,248.37273552505138,-3.747311838537115,85.0,85.0,0.3,0.1738428454161088,50.0,232.0232227361339,-362.1314353727352,327.72931651878287,-30.961706494459385,4050390.0554034216,38.28292269766744,-25.61801933019943,0.0
29.855856029948626,0.16329249365000698,60.43975155813956,79.36525545109535,-27.21481072727707,24.302646542634516,-16.98207095736586,-8.8734050277729e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0969488655952344,-422.5680039703498,248.3728256452254,-3.723030253146419,85.0,85.0,0.3,0.1738429629897911,50.0,232.02478477367475,-362.12825241221026,327.73808109632074,-30.937840980423488,4050392.7947699586,38.28386658935122,-25.617075677182186,0.0
29.85727815650707,0.16335027861858128,60.45644825624949,79.40855204705686,-27.216889304228395,24.307733197286534,-16.98106418896866,8.799673237836642e-19,1.225,0.0,0.0,-2.8000000000000003,-3.0968522939040732,-422.56873557275367,248.37337157017134,-3.6016163836874853,85.0,85.0,0.3,0.17384355672598809,50.0,232.03257589847698,-362.1122873165042,327.7819236172282,-30.81850568791588,4050406.628317045,38.28858600997931,-25.61235745384397,0.0
29.85753097900635,0.16336130772549406,60.45986928822815,79.41667807449515,-27.21728443630308,24.308697708594636,-16.980967367176596,-4.4313217869555796e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0968342705498637,-422.56844467107476,248.37417877482756,-3.5800205517558084,85.0,85.0,0.3,0.17384366327610593,50.0,232.0339067310411,-362.1085753828466,327.7908568493227,-30.797304988058887,4050409.110843931,38.28942499846676,-25.611518680279495,0.0
29.85784700713045,0.16337384082722586,60.46341883476263,79.4261112699145,-27.21773654278188,24.309798361826765,-16.980716934582805,-6.651879002108203e-16,1.225,0.0,0.0,-2.8000000000000003,-3.096813163161233,-422.5686825925102,248.37416154563365,-3.5530366201823256,85.0,85.0,0.3,0.1738437968614596,50.0,232.03564320259926,-362.10526375774754,327.80027281554817,-30.770773162964204,4050412.223268758,38.29047372574529,-25.61047022253401,0.0
29.85784700713045,0.16337312688473885,60.46297736173363,79.42571947281857,-27.21771263589094,24.309744964906038,-16.98063500976887,-4.432473103137179e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0968139763723386,-422.5691142629849,248.3734270242384,-3.5530437546041753,85.0,85.0,0.3,0.1738437968316143,50.0,232.03570465210493,-362.10613690125126,327.799146497057,-30.770756390495116,4050412.222573388,38.29047372574577,-25.610470222533475,0.0
29.858428182520996,0.16339645319794618,60.469664664177714,79.4432319330159,-27.218553734121965,24.311792986816243,-16.98020251520446,-2.212015434685181e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0967748501800663,-422.56941802802123,248.37361534012848,-3.5034160807031185,85.0,85.0,0.3,0.17384404373762574,50.0,232.0388829796126,-362.09975336384355,327.8168472731444,-30.721969814825083,4050417.9752729055,38.292402325540735,-25.60854211930792,0.0
29.85871877021627,0.16340797863097745,60.47294237967601,79.45189874484684,-27.218969835544794,24.3128021570867,-16.97997616760031,8.429882638708409e-19,1.225,0.0,0.0,-2.8000000000000003,-3.096755442704278,-422.56957303740813,248.37370053194354,-3.478597146215776,85.0,85.0,0.3,0.17384416770146066,50.0,232.04047005207548,-362.09663065773213,327.8255992767904,-30.69756698176057,4050420.8635245515,38.293366590313454,-25.607578106537364,0.0
29.86017170869264,0.1634654943803637,60.489302980872665,79.49515368165336,-27.221048492352594,24.317831521357114,-16.97884303501229,-4.432524829687841e-16,1.225,0.0,0.0,-2.8000000000000003,-3.096658550683726,-422.57026770885176,248.3742261212528,-3.3544961722185462,85.0,85.0,0.3,0.17384479365122824,50.0,232.04838573551234,-362.0809647279791,327.86937980290617,-30.57554466457114,4050435.447620364,38.29818787471223,-25.602758086279955,0.0
29.860430008866217,0.16347650865113927,60.492681851829005,79.5032930140703,-27.221444754812392,24.318788996064256,-16.978726627626983,-4.4326555034222567e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0966404340955185,-422.56995188857417,248.37506068603267,-3.332419688688532,85.0,85.0,0.3,0.1738449059754405,50.0,232.04973799765267,-362.0772700367452,327.87835370010293,-30.553864443500924,4050438.0646787263,38.2990449714506,-25.601901216440012,0.0
29.860752884083187,0.1634889685388358,60.496150152043654,79.51270823623346,-27.221896457515218,24.31987555192691,-16.978447127161775,8.271970173668503e-19,1.225,0.0,0.0,-2.8000000000000003,-3.096619270222105,-422.57018483415163,248.37503296632497,-3.304839034279553,85.0,85.0,0.3,0.17384504679675594,50.0,232.05150206508307,-362.074034682108,327.88774120255846,-30.52673549179477,4050441.345695291,38.30011633367614,-25.600830138755345,0.0
29.860752884083187,0.1634882234068721,60.495691207496904,79.51229759322192,-27.221871509582964,24.31981939717963,-16.978362232129815,-4.4324487425581267e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0966201178623933,-422.57063534847424,248.37426635983223,-3.3048485950833424,85.0,85.0,0.3,0.17384504676491053,50.0,232.05156480932607,-362.0749441409773,327.8865639530542,-30.526720104666307,4050441.344953321,38.30011633367673,-25.600830138754695,0.0
29.861346654643114,0.1635114273034736,60.50223523863362,79.52978498372033,-27.22271229068673,24.32184275083698,-16.977877236063165,-2.21199082185435e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0965808743430268,-422.5709241425337,248.37444495845375,-3.254122159001639,85.0,85.0,0.3,0.1738453070346986,50.0,232.05479388798153,-362.0686889039001,327.9042299421741,-30.47683444968837,4050447.4090174413,38.30208656992722,-25.598860426715333,0.0
29.86164353992308,0.1635228855614496,60.50543845253289,79.53843532591185,-27.223128043753572,24.3228389632949,-16.977624215803196,-2.2119915694697932e-16,1.225,0.0,0.0,-2.8000000000000003,-3.096561414743536,-422.57107177739124,248.37452493400156,-3.2287536375216916,85.0,85.0,0.3,0.17384543770865993,50.0,232.0564062630887,-362.06563332485837,327.9129602599134,-30.451881681275264,4050450.4536093096,38.30307165138442,-25.59787561124404,0.0
29.8631279663229,0.1635800606041592,60.52142511471464,79.58160433225545,-27.225204885710035,24.327802935673017,-16.976357664552417,-1.3314180172314733e-15,1.225,0.0,0.0,-2.8000000000000003,-3.0964642673809997,-422.57172594953784,248.37502894513702,-3.101904347105801,85.0,85.0,0.3,0.17384609748386484,50.0,232.06444782968583,-362.0503008348232,327.9566332773925,-30.327109232815836,4050465.825808966,38.307997017456536,-25.592951579413032,0.0
29.863391864349538,0.16359104876270664,60.524755704206605,79.58975012982768,-27.225601990064,24.328752106177298,-16.976220494486903,-2.2119318204703942e-16,1.225,0.0,0.0,-2.8000000000000003,-3.096446067596869,-422.5713837826347,248.37589198421324,-3.0793360366998286,85.0,85.0,0.3,0.17384621587105326,50.0,232.06582183647885,-362.0466280784281,327.9656421140409,-30.30493802676383,4050468.584129502,38.30887261670128,-25.59207621962365,0.0
29.86372173688283,0.16360341897353703,60.528134099089925,79.5991371325033,-27.226052850057805,24.32982269934305,-16.975910327092862,-8.873185291401826e-16,1.225,0.0,0.0,-2.8000000000000003,-3.096424862281345,-422.5716110950182,248.37585324602955,-3.05114511119109,85.0,85.0,0.3,0.17384636429030645,50.0,232.06761376934412,-362.0434769959283,327.9749903785329,-30.277197961248895,4050472.0421715393,38.30996710667684,-25.59098202992532,0.0
29.86372173688283,0.16360264129630872,60.5276570550582,79.59870670999399,-27.226026815998154,24.32976363681243,-16.975822373649876,-4.432308019345545e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0964257457879096,-422.572081270888,248.37505316529138,-3.051157346129827,85.0,85.0,0.3,0.17384636425632705,50.0,232.06767777149344,-362.04442421582985,327.9737598752854,-30.27718416212798,4050472.0413798485,38.30996710667753,-25.590982029924557,0.0
29.86432837909355,0.16362569302214755,60.534042092862364,79.61615057690585,-27.22686649095784,24.331758959261567,-16.975281957899163,-2.2118498409622446e-16,1.225,0.0,0.0,-2.8000000000000003,-3.096386412045451,-422.57235363465657,248.37522148503942,-2.999307104303824,85.0,85.0,0.3,0.17384663855826832,50.0,232.07095813980084,-362.0383115417942,327.9913720619453,-30.226173595261663,4050478.4323811717,38.311979886360966,-25.58896980343588,0.0
29.864631700198913,0.1636370689713856,60.53716282126956,79.62477505075378,-27.22728149318072,24.332740506449277,-16.97500078846411,-2.2118506046691287e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0963669141462624,-422.5724931684275,248.37529595023778,-2.9733764661527857,85.0,85.0,0.3,0.17384677627819034,50.0,232.0725960845681,-362.0353303471579,328.00007100099157,-30.200657959333505,4050481.641137915,38.312986237922985,-25.587963732521658,0.0
29.866148305725716,0.1636938274316286,60.552735552484194,79.66781097635865,-27.229354505171365,24.337630529246624,-16.973593432296493,-8.873146205317471e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0962695807405587,-422.5731030424588,248.3757771189065,-2.843716187097243,85.0,85.0,0.3,0.1738474715705651,50.0,232.08076485546468,-362.0203674899746,328.04358809526514,-30.073070692268608,4050497.8408573414,38.3180179526917,-25.582933425492488,0.0
29.866417924486036,0.16370477748249954,60.556011372209866,79.67595594003954,-27.2297521435758,24.338570056751212,-16.973434263456426,-1.7754894252975046e-15,1.225,0.0,0.0,-2.8000000000000003,-3.0962513085038497,-422.5727330264682,248.3766697980752,-2.8206445911948776,85.0,85.0,0.3,0.1738475963239299,50.0,232.0821609323467,-362.01672165425833,328.0526257381147,-30.05039673477068,4050500.74750436,38.318912457429015,-25.582039173375847,0.0
29.866754947936435,0.16371704055424766,60.559290717080714,79.68530381813801,-27.230201694432964,24.33962271727617,-16.9730917557396,-1.3314008298535674e-15,1.225,0.0,0.0,-2.8000000000000003,-3.096230077770886,-422.5729540024971,248.37661949859933,-2.791829526577743,85.0,85.0,0.3,0.17384775272103867,50.0,232.08398099691783,-362.0136632854164,328.0619233167373,-30.022031221010707,4050504.391423628,38.320030578870394,-25.580921368710325,0.0
29.866754947936435,0.16371622891809623,60.558794928528904,79.68485263510972,-27.230174527238816,24.339560588417708,-16.97300065472016,-2.2118182456194058e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0962309986392436,-422.5734446923887,248.37578449602003,-2.791844703661866,85.0,85.0,0.3,0.17384775268478256,50.0,232.0840462121804,-362.0146497638598,328.06063713112974,-30.022019230900682,4050504.3905788925,38.320030578871226,-25.580921368709404,0.0
29.867374744501586,0.1637390969021882,60.56500436162101,79.70223333200659,-27.231012257215596,24.341524328020018,-16.972401764028113,8.633995012768699e-19,1.225,0.0,0.0,-2.8000000000000003,-3.096191603561878,-422.57369907186137,248.3759419646011,-2.7388450147312255,85.0,85.0,0.3,0.1738480417203833,50.0,232.08737840728037,-362.0086947102404,328.0781752966077,-29.96985727194682,4050511.1248619184,38.32208682907013,-25.578865702092937,0.0
29.86768464278416,0.1637503744897727,60.56803417089687,79.71082193525373,-27.231426080869106,24.34248940706081,-16.972090899646197,-6.652708033427416e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0961720820902814,-422.5738297306575,248.3760106196099,-2.7123394310612525,85.0,85.0,0.3,0.17384818683876552,50.0,232.08904218798858,-362.00579555976066,328.08683255486363,-29.94376551193036,4050514.5059964764,38.3231149142068,-25.577837912975493,0.0
29.869234134197036,0.16380663588692754,60.583150726980506,79.75367460593647,-27.233493121502764,24.34729644484114,-16.97053500566382,8.988816576388453e-19,1.225,0.0,0.0,-2.8000000000000003,-3.09607463646253,-422.5743912633792,248.37646766226294,-2.579803993784793,85.0,85.0,0.3,0.17384891942395983,50.0,232.097339480845,-361.99124053639866,328.1301422681994,-29.813297115287558,4050531.5746067986,38.328255294939176,-25.572699017037085,0.0
29.869509599337103,0.1638175350792453,60.58636490228491,79.7618109543958,-27.233890965800462,24.34822491610802,-16.970352540068607,-2.2108130206053675e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0960563032570527,-422.5739918176176,248.37739120146665,-2.5562173621009947,85.0,85.0,0.3,0.17384905086174687,50.0,232.09875796458294,-361.98762691533267,328.13920215586245,-29.790108327901457,4050534.636995154,38.329169117085776,-25.57178546131302,0.0
29.869853930762186,0.16382967250124592,60.58953554394021,79.77110811090131,-27.234338712265654,24.3492575644664,-16.969975941017573,9.535998016754271e-19,1.225,0.0,0.0,-2.8000000000000003,-3.0960350641610894,-422.57420570540387,248.3773287832471,-2.526763962756945,85.0,85.0,0.3,0.17384921563548145,50.0,232.10060642360912,-361.98467016146367,328.1484368941484,-29.7611026750226,4050538.47608266,38.33031138487105,-25.570643527599778,0.0
