Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EstimatedIntegrationError,EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
10.096303702537176,-0.0038413366386642438,-0.005397868658744875,4.2241791107581187e-16,0.0012987183867557309,3.0653697015428882,0.23477109269736196,1.557325517337564,0.9924046127107921,-0.037050935288511944,-0.11728331600387791,-280.437447806272,151.60463848181598,3349.4742439828124,-30.195538036376423,16.917087060479407,240.92227140098953
10.158855486701563,-0.022136755650213148,0.009922580759042631,5.028035057779037e-16,0.0003338390173983286,3.0645498667327895,0.234611820950263,1.5573381942184483,0.992398651143017,-0.03745937033426768,-0.1172049541712461,-282.32363909593846,152.65987967968854,3364.5083603161374,-30.111299510928717,16.82352293653757,239.77236784933189
10.221116958837204,-0.042619527509232175,0.026240137099219636,5.579044157369893e-16,0.00026438909622206804,3.062578194171862,0.23350869023654983,1.5574269661567068,0.992425536534795,-0.03844909945769055,-0.11665799501780715,-284.19590548970183,153.70426731816934,3379.40144819542,-30.03301579688029,16.722347271528392,238.63290080457517
10.284292386912185,-0.06513668205636323,0.04413988560897019,5.539054898532175e-16,0.0001909884342161801,3.0591903412437524,0.2312664492818901,1.5576134485491209,0.9924887084682525,-0.04015370397937136,-0.11554497290283632,-286.0910290676614,154.75716312476266,3394.4407808505885,-29.960706642744874,16.612278841227056,237.48178340371197
10.34848853240668,-0.07687515482680307,0.05182500167508822,5.093846010261328e-16,0.0036599444013158135,3.0546154844555007,0.22812434195344927,1.5578873706347907,0.9925738865000068,-0.04245755987699759,-0.11398380763734721,-288.0113636547991,155.82078330998252,3409.6489162256044,-29.860496428768233,16.531082802102652,236.32218766822123
10.413822493328102,-0.07858341404266492,0.05078392548344539,4.474954386698096e-16,0.0006179342984844642,3.0495760461154116,0.2247642800077307,1.5581966877807945,0.9926530461255507,-0.044995292981330655,-0.11231274668157944,-289.958273778064,156.89893807139833,3425.050483864811,-29.73690978999531,16.47559146872965,235.1509858855014
10.477949823311171,-0.06126612464683445,0.03272623397343563,4.891086423797678e-16,0.0004353338655562214,3.045017677196727,0.22197684500725318,1.5584666800948246,0.992702757869499,-0.04728880133789061,-0.11092522449449624,-291.86020638123495,157.95503545846063,3440.0935028064196,-29.569547858902652,16.474159891514883,234.0118849509273
10.54266282974248,-0.020636417081290534,-0.006583737152267552,3.6002784137049303e-16,0.004492524293540418,3.0422975693276912,0.2210559202237246,1.5585586559479963,0.9926882451717877,-0.048649310217004575,-0.11046688400284127,-293.7664554849971,159.02310307605632,3455.2002209381735,-29.33635593834557,16.544429518339186,232.8730522331554
10.608207158777144,0.03333195001616607,-0.0576518311856669,5.339224416186928e-16,0.0019113922700643852,3.0426177202704854,0.22310870771200783,1.5583483056522764,0.9925826671886312,-0.04846681860590603,-0.11149065473967856,-295.68042112518964,160.11112092744085,3470.426145407172,-29.06087130435929,16.660834002336333,231.72744894439356
10.672540519774648,0.07812731700863651,-0.0989328101022647,2.888037767737121e-16,0.000520943761748834,3.046220030034442,0.22825339712031312,1.5578330095871087,0.9923795717871828,-0.046619864458674394,-0.11405422426759139,-297.54171398479707,161.18632767530397,3485.2978868817077,-28.815953469548948,16.752397802811103,230.60611360774723
10.735791383871797,0.08817119009580529,-0.1057882835923346,2.041886135708362e-16,0.0011474425609799728,3.0515033398862403,0.23486475656053998,1.5572010638118419,0.9921183265685295,-0.043922648422718154,-0.11734509460104887,-299.3594502737666,162.2460252427639,3499.8489290379266,-28.67577265045115,16.740155497918334,229.49869764506602
10.799735177319466,0.07580106976268763,-0.09089346108884301,3.2530435205880645e-16,0.00024155765160630767,3.056670975071049,0.24118406159503178,1.5566305803756764,0.9918540979262322,-0.04128745477846276,-0.12048698367201764,-301.19032156346907,163.31422548384617,3514.4880460641484,-28.59395052341536,16.665383230749825,228.3758213755874
10.863579633044075,0.056330360712276914,-0.06986159563611387,4.019606248007454e-16,0.00047672877101468194,3.060804380684132,0.24631382029200471,1.5561917091661077,0.9916260024380287,-0.03917989404662158,-0.12303498539199433,-303.01377393706525,164.3752772408919,3529.032819193477,-28.529134425776284,16.571492420233522,227.25615098493338
10.928484110453265,0.03673194680040492,-0.04982755764201417,5.011938987182389e-16,0.0006964530362514607,3.0637183241525445,0.25015105200220317,1.5558771733820864,0.9914448539453145,-0.037692295695963995,-0.1249397571386629,-304.86327310787567,165.447710278964,3543.7459426597807,-28.45916827360975,16.477876138588773,226.1228839867699
10.994166335452578,0.020989700280571108,-0.03483754038293923,4.483296405005196e-16,0.0008671172293813105,3.065613624017105,0.2529710532331769,1.555652910070256,0.9913034752130073,-0.03672142467454591,-0.12633917608958972,-306.7295740256802,166.5274984488556,3558.5607678978654,-28.373328425535362,16.39631395228714,224.98328054475687
11.060350555207314,0.002692629998867671,-0.018453243570531335,6.017910929859039e-16,0.0007689160649237779,3.0663004792550232,0.2546619621504998,1.55552075043641,0.9912091561391302,-0.03636220482646177,-0.1271786459386662,-308.60492393996503,167.60952709364415,3573.4131913207448,-28.291527215386623,16.30698670184245,223.83926200100993
11.126816612538796,-0.006259011772543836,-0.012023809366067981,5.273113482984758e-16,5.4734876660887934e-05,3.0661278875347437,0.2556347897097285,1.555444932226365,0.9911442083434565,-0.03643688565161159,-0.12766235332286777,-310.48180316215206,168.69123777192146,3588.2530088164654,-28.18182696209316,16.245347265696495,222.70033807160183
11.193697856412244,-0.013117713191223273,-0.007943140168747514,4.893646459029279e-16,0.0013652618756148209,3.0654744004593906,0.25630818672212324,1.5553921564922506,0.9910893320123025,-0.03675315955984104,-0.1279979114264239,-312.3627331983152,169.77590211358537,3603.1093442086567,-28.0658659671023,16.1894599473752,221.56054759187242
11.261957448782171,-0.01548133374699611,-0.008093564775324781,4.4144934601478645e-16,0.000473896134231503,3.0644179825302906,0.25678746828861815,1.5553541125211003,0.9910391679060386,-0.03727120558067674,-0.12823754485178215,-314.2742702861019,170.87928379732304,3618.1934585185236,-27.936792259000566,16.145414389199882,220.40439816373802
11.32983737756337,-0.014761342069893126,-0.010585232588956738,3.823782164291955e-16,0.0002707131248474723,3.0633991999203043,0.25744487961164436,1.5553011621133284,0.9909779739925912,-0.03776846146637755,-0.1285656314144844,-316.1659988790865,171.97410175270875,3633.115662955023,-27.80292504274304,16.110282332800537,219.26081098492574
11.398550612435546,-0.020025152350937093,-0.006275143195342871,3.1455261907494164e-16,2.9361426402096275e-05,3.06222219165127,0.25805854740253115,1.555251159888002,0.9909162025296526,-0.03834450747104381,-0.12887216188880468,-318.07234972552453,173.07936217482737,3648.142066599878,-27.687383522748622,16.05726647842333,218.10517286079275
11.468392537787786,-0.027023760701189205,0.0011099030393100558,3.1764469256438324e-16,4.442628899199289e-05,3.060561217874135,0.25823288770257696,1.5552368298417876,0.9908728150363397,-0.03916538726520109,-0.12896092276818008,-320.0023401474347,174.1987225579087,3663.3340292516095,-27.57983327335707,15.997906766587187,216.93423136040474
11.539727115006183,-0.029990399488956893,0.005888472992263316,2.870895537708654e-16,0.00033546493851515925,3.0584979851149794,0.2579558741520061,1.555260506167801,0.9908496761090921,-0.04019089990570802,-0.12882572400507838,-321.96567224302567,175.33806915302847,3678.7664724173337,-27.463979155565557,15.948594251921604,215.74479594206264
11.612567670312533,-0.024361142366240887,0.0031384657924000492,2.304260400824254e-16,0.00011703875370291718,3.0564583714226456,0.257564257614997,1.5552946110963783,0.9908332900559539,-0.04120612554877992,-0.12863336126956296,-323.9613157216447,176.4986272180575,3694.4374698427696,-27.326197805468826,15.922526118038432,214.5390929957006
11.686522008787477,-0.007923752394691105,-0.009984831129227184,1.3231077415824536e-16,0.0012591004778528204,3.0552104542470344,0.2577671430879651,1.5552763201631374,0.9907943799224643,-0.041821837346206536,-0.12873560142771656,-325.9761271265065,177.67621102275785,3710.2586182332902,-27.157998951508784,15.927866930677448,213.32505525233046
11.76193023223675,0.00888409088252324,-0.023935959694379262,1.1316609314376393e-16,0.0006822819393755839,3.0552790424619647,0.259097461228656,1.555156929271306,0.9907102785029765,-0.04177132306559558,-0.12939697283537227,-328.0173825683447,178.87774045742302,3726.2986306340963,-26.985213259257282,15.934674656260281,212.09347933114938
11.837098505998327,0.01331534201843755,-0.026821582372861676,6.892310086899435e-17,0.0008977601787179937,3.056176850946184,0.26109696757668494,1.554978745903509,0.9905995339325532,-0.041301688478965266,-0.13038999758584133,-330.04025601774686,180.07477068844202,3742.1952512831344,-26.844793985469508,15.906449235282182,210.86730979715932
11.912894762670627,-0.0003017312760570639,-0.013346385234196062,1.561215875456445e-16,0.00015790358515151146,3.0567131245871355,0.26268267940176765,1.5548388072365291,0.9905072472657422,-0.04101628921793426,-0.13117755381012106,-332.07120474194886,181.27760212614652,3758.1312895201454,-26.7504225463861,15.825835493750992,209.62949713546902
11.988997599770991,-0.022079032037317446,0.006839845691598541,2.0549563876800943e-16,0.006626518302967066,3.0558717431058575,0.2629377738980354,1.5548165174414392,0.990473225845226,-0.04142979541477193,-0.13130531290516653,-334.1041636361708,182.47801071696472,3774.0374634709065,-26.677305588303366,15.719691909625952,208.38928641001624
12.066534361071197,-0.031006495026917935,0.013432415643296752,2.2524168551852806e-16,0.00023292501849029947,3.0536324228758325,0.26195039604773696,1.5549056062497972,0.9904906741361913,-0.04255133656058236,-0.13081697408185525,-336.1688592221388,183.6935703392011,3790.1466745565936,-26.565246162490574,15.650151873361926,207.1387098726231
12.142674511359642,-0.02605203815732205,0.006025400640712158,1.35540898413005e-16,0.002863697234225128,3.0514701002908122,0.2612038463787144,1.5549744366688405,0.9904926563594869,-0.04363181135623055,-0.1304480145268025,-338.18594260552516,184.8840655569917,3805.871924020616,-26.417800370703635,15.62155561849396,205.92300651912265
12.220132763485527,-0.03342618861842831,0.010724736054699388,1.480758486319586e-16,0.00021511339363743478,3.049343917299645,0.2607216181592914,1.5550201650580358,0.990477004062923,-0.04469108362187571,-0.13021022127514403,-340.22733382097033,186.09203035655943,3821.774521671278,-26.304078639554316,15.555768662772332,204.68689483256958
12.296193047509032,-0.05199962960615123,0.026993870043952338,2.933088979274908e-16,0.001210492765418931,3.0460723005618227,0.2592395556185766,1.555164915839265,0.9904983556993179,-0.046330999745579596,-0.1294757877436824,-342.2253055313196,187.27122430377725,3837.2968554698937,-26.228730402546116,15.45558178644721,203.47345940413973
12.373594529164498,-0.05590517256451534,0.02977944682762079,2.601613461093267e-16,0.00015397756018826724,3.041857958853106,0.25696464259535884,1.5553953914240397,0.9905444359730438,-0.048448936849807396,-0.1283467229160738,-344.2512838891659,188.46496047724432,3852.99860375361,-26.115113558194334,15.396771031710475,202.25060760832568
12.450823422683277,-0.04374032494291188,0.017887605043009347,1.0135787569971087e-16,0.0013267993029407602,3.0379987228356025,0.2550800956003371,1.555593813401741,0.99056895742234,-0.05038627329516734,-0.12741064548981798,-346.2623677933653,189.65335408815992,3868.571461253325,-25.962246405832058,15.383751374004026,201.04177807745157
12.529513521527466,-0.02128599937405602,-0.003152811529728742,5.0035376921757156e-17,0.006522027465572432,3.0353693607998995,0.2544226777561324,1.5556648002777302,0.9905434518378022,-0.05169771376088724,-0.12708438189067053,-348.2984486517025,190.8643052056783,3884.3432761605245,-25.780849225253277,15.401115629084684,199.81881022864587
12.607846683180332,0.013890128726764667,-0.03602990629294542,-1.4030709029444427e-16,0.0007893340226495209,3.0350126242669506,0.2559272587366139,1.5554978501951109,0.9904388699682386,-0.05185298787435835,-0.1278339006663919,-350.30945772744633,192.07297418698036,3899.948368522855,-25.56216011412643,15.461104819591288,198.61107888777414
12.684761706571187,0.037498031984824015,-0.057444721804824656,-1.7217001499888765e-16,0.001243114253857849,3.037014418541887,0.259627157774194,1.5550918213318368,0.9902533763481951,-0.05080886855069597,-0.1296753233142482,-352.2681973952067,193.2635746495779,3915.179014603361,-25.38036228256837,15.48753625513861,197.42693365242425
12.762141963980987,0.051629318764740195,-0.06974666097959972,-2.269242068746687e-16,0.0006180899880355332,3.040299516578663,0.26449237790474783,1.5545711355517782,0.9900187198290765,-0.049112869735469425,-0.13209474381855052,-354.2262045328099,194.46186708936963,3930.4099054371136,-25.224495175777353,15.486700414512171,196.23776094503606
